Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,34,1,699,0,6,1,3,1,25,2,1,83,3,1,7,1,1,2960,17102,2,1,0,11,3,3,80,0,8,2,3,4,2,1,3
0,53,1,1282,0,5,3,5,1,26,3,0,58,3,5,3,3,0,19094,10735,4,1,0,11,3,4,80,1,26,3,2,14,13,4,8
1,32,2,1125,0,16,1,4,1,27,2,0,72,1,1,7,1,1,3919,4681,1,1,1,22,4,2,80,0,10,5,3,10,2,6,7
0,42,1,691,2,8,4,2,1,28,3,1,48,3,2,2,2,2,6825,21173,0,1,0,11,3,4,80,1,10,2,3,9,7,4,2
0,44,1,477,0,7,4,3,1,29,1,0,42,2,3,4,4,2,10248,2094,3,1,0,14,3,4,80,1,24,4,3,22,6,5,17
0,46,1,705,2,2,4,2,1,30,2,0,83,3,5,3,1,1,18947,22822,3,1,0,12,3,4,80,0,22,2,2,2,2,2,1
0,44,1,1459,0,10,4,5,1,32,4,1,41,3,2,4,4,2,6465,19121,2,1,1,13,3,4,80,0,9,5,4,4,2,1,3
0,30,1,125,0,9,2,3,1,33,4,1,83,2,1,6,3,1,2206,16117,1,1,0,13,3,1,80,0,10,5,3,10,0,1,8
1,24,1,813,0,1,3,3,1,35,2,1,61,3,1,7,4,2,2293,3020,2,1,1,16,3,1,80,1,6,2,2,2,0,2,0
1,50,1,869,2,3,2,2,1,37,1,1,86,2,1,1,3,2,2683,3810,1,1,1,14,3,3,80,0,3,2,3,3,2,0,2
0,35,1,890,2,2,3,2,1,38,4,0,97,3,1,1,4,2,2014,9687,1,1,0,13,3,1,80,0,2,3,3,2,2,2,2
0,36,1,852,0,5,4,4,1,39,2,0,82,2,1,7,1,2,3419,13072,9,1,1,14,3,4,80,1,6,3,4,1,1,0,0
0,33,2,1141,2,1,3,4,1,40,3,0,42,4,2,2,1,2,5376,3193,2,1,0,19,3,1,80,2,10,3,3,5,3,1,3
0,35,1,464,0,4,2,5,1,41,3,1,75,3,1,6,4,0,1951,10910,1,1,0,12,3,3,80,1,1,3,3,1,0,0,0
1,26,1,1357,0,25,3,4,1,43,1,1,48,1,1,6,3,1,2293,10558,1,1,0,12,3,3,80,0,1,2,2,1,0,0,1
0,27,2,994,2,8,3,4,1,44,4,1,37,3,3,2,3,1,8726,2975,1,1,0,15,3,4,80,0,9,0,3,9,8,1,7
1,41,1,1360,0,12,3,0,1,46,2,0,49,3,5,8,3,2,19545,16280,1,1,0,12,3,4,80,0,23,0,3,22,15,15,8
0,34,0,1065,2,23,4,2,1,47,2,1,72,3,2,2,3,1,4568,10034,0,1,0,20,4,3,80,0,10,2,3,9,5,8,7
0,37,1,408,0,19,2,4,1,48,2,1,73,3,1,7,2,2,3022,10227,4,1,0,21,4,1,80,0,8,1,3,1,0,0,0
0,46,2,1211,2,5,4,2,1,49,1,1,98,3,2,2,4,1,5772,20445,4,1,1,21,4,3,80,0,14,4,3,9,6,0,8
0,35,1,1229,0,8,1,4,1,50,4,1,36,4,1,6,4,2,2269,4892,1,1,0,19,3,4,80,0,1,2,3,1,0,0,1
1,28,1,1434,0,5,4,0,1,52,3,1,50,3,1,6,3,1,3441,11179,1,1,1,13,3,3,80,0,2,3,2,2,2,2,2
0,44,1,1488,2,1,5,2,1,53,2,0,75,3,2,2,1,0,5454,4009,5,1,1,21,4,3,80,1,9,2,2,4,3,1,3
0,26,1,1443,2,23,3,2,1,55,3,0,47,2,2,2,4,2,4157,21436,7,1,1,19,3,3,80,1,5,2,2,2,2,0,0
0,33,2,515,0,1,2,4,1,56,1,0,98,3,3,8,4,1,13458,15146,1,1,1,12,3,3,80,0,15,1,3,15,14,8,12
0,35,2,853,2,18,5,4,1,57,2,1,71,3,3,2,1,2,9069,11031,1,1,0,22,4,4,80,1,9,3,2,9,8,1,8
0,35,1,1142,0,23,4,3,1,58,3,0,30,3,1,6,1,2,4014,16002,3,1,1,15,3,3,80,1,4,3,3,2,2,2,2
0,37,1,1115,0,1,4,4,1,60,1,1,51,2,2,5,3,0,5993,2689,1,1,0,18,3,3,80,1,7,2,4,7,5,0,7
0,38,2,653,0,29,5,4,1,62,4,0,50,3,2,6,4,1,2406,5456,1,1,0,11,3,4,80,0,10,2,3,10,3,9,9
0,59,1,1435,2,25,3,4,1,64,1,0,99,3,3,2,1,1,7637,2354,7,1,0,11,3,4,80,0,28,3,2,21,16,7,9
0,36,1,1223,0,8,3,0,1,65,3,0,59,3,3,4,3,0,10096,8202,1,1,0,13,3,2,80,3,17,2,3,17,14,12,8
0,55,1,836,0,8,3,3,1,66,4,0,33,3,4,3,3,0,14756,19730,2,1,1,14,3,3,80,3,21,2,3,5,0,0,2
0,35,2,664,0,1,3,3,1,69,2,1,79,3,1,7,1,2,2194,5868,4,1,0,13,3,4,80,1,5,2,2,3,2,1,2
1,36,1,318,0,9,3,3,1,70,4,1,79,2,1,7,3,2,3388,21777,0,1,1,17,3,1,80,1,2,0,2,1,0,0,0
0,59,2,1225,2,1,1,4,1,71,1,0,57,2,2,2,3,1,5473,24668,7,1,0,11,3,4,80,0,20,2,2,4,3,1,3
0,36,1,132,0,6,3,4,1,75,2,0,55,4,1,6,4,2,3038,22002,3,1,0,12,3,2,80,0,5,3,3,1,0,0,0
0,31,1,746,0,8,4,4,1,76,3,0,61,3,2,5,4,1,4424,20682,1,1,0,23,4,4,80,0,11,2,3,11,7,1,8
0,35,1,776,2,1,4,2,1,77,3,1,32,2,2,2,1,1,4312,23016,0,1,0,14,3,2,80,0,16,2,3,15,13,2,8
0,45,1,193,0,6,4,5,1,78,4,1,52,3,3,8,1,2,13245,15067,4,1,1,14,3,2,80,0,17,3,4,0,0,0,0
0,30,1,852,0,1,1,4,1,81,4,1,55,2,2,6,4,2,5126,15998,1,1,1,12,3,3,80,2,10,1,2,10,8,3,0
0,35,1,1214,0,1,3,3,1,82,2,1,30,2,1,7,3,1,2859,26278,1,1,0,18,3,1,80,0,6,3,3,6,4,0,4
0,55,1,111,2,1,2,4,1,83,1,1,70,3,3,2,4,2,10239,18092,3,1,0,14,3,4,80,1,24,4,3,1,0,1,0
0,23,1,541,2,2,1,0,1,87,3,1,62,3,1,1,1,0,2322,9518,3,1,0,13,3,3,80,1,3,3,3,0,0,0,0
0,51,1,432,0,9,4,4,1,88,4,1,96,3,1,6,4,2,2075,18725,3,1,0,23,4,2,80,2,10,4,3,4,2,0,3
0,51,1,632,2,21,4,2,1,92,3,1,71,3,2,2,4,1,5441,8423,0,1,1,22,4,4,80,0,11,2,1,10,7,1,0
0,46,2,638,0,1,3,3,1,94,3,1,40,2,3,4,1,2,10673,3142,2,1,1,13,3,3,80,1,21,5,2,10,9,9,5
0,54,1,1217,0,2,4,0,1,96,1,0,60,3,3,8,3,2,13549,24001,9,1,0,12,3,1,80,1,16,5,1,4,3,0,3
0,58,1,682,2,10,4,3,1,99,4,1,37,3,4,2,3,1,13872,24409,0,1,0,13,3,3,80,0,38,1,2,37,10,1,8
0,44,0,489,0,23,3,3,1,100,2,1,67,3,2,6,2,2,2042,25043,4,1,0,12,3,3,80,1,17,3,4,3,2,1,2
1,37,1,807,1,6,4,1,1,101,3,1,63,3,1,0,1,0,2073,23648,4,1,1,22,4,4,80,0,7,3,3,3,2,0,2
0,32,1,827,0,1,1,4,1,102,4,1,71,3,1,7,1,1,2956,15178,1,1,0,13,3,4,80,0,1,2,3,1,0,0,0
1,20,2,871,0,6,3,4,1,103,4,0,66,2,1,6,4,1,2926,19783,1,1,1,18,3,2,80,0,1,5,3,1,0,1,0
0,37,0,1040,0,2,2,4,1,105,3,1,100,2,2,4,4,0,5163,15850,5,1,0,14,3,4,80,1,17,2,4,1,0,0,0
0,59,0,1420,1,2,4,1,1,106,3,0,32,2,5,3,4,2,18844,21922,9,1,0,21,4,4,80,1,30,3,3,3,2,2,2
1,25,1,240,2,5,3,2,1,108,3,1,46,2,2,2,3,1,5744,26959,1,1,1,11,3,4,80,0,6,1,3,6,4,0,3
0,22,1,534,0,15,3,3,1,110,2,0,59,3,1,6,4,1,2871,23785,1,1,0,15,3,3,80,0,1,5,3,0,0,0,0
1,34,2,658,0,7,3,4,1,112,1,1,66,1,2,6,3,1,6074,22887,1,1,1,24,4,4,80,0,9,3,3,9,7,0,6
0,54,0,142,1,26,3,1,1,113,4,0,30,4,4,3,4,1,17328,13871,2,1,1,12,3,3,80,0,23,3,3,5,3,4,4
0,37,1,1189,2,3,3,4,1,116,3,1,87,3,3,2,4,1,7428,14506,2,1,0,12,3,1,80,0,12,3,3,5,3,1,3
0,34,1,1354,0,5,3,3,1,117,3,0,45,2,3,3,1,1,11631,5615,2,1,0,12,3,4,80,0,14,6,3,11,10,5,8
0,36,1,922,0,3,2,4,1,119,1,0,39,3,1,6,4,0,2835,2561,5,1,0,22,4,1,80,1,7,2,3,1,0,0,0
0,43,2,394,2,26,2,4,1,120,3,1,92,3,4,3,4,2,16959,19494,1,1,1,12,3,4,80,2,25,3,4,25,12,4,12
0,30,2,1312,0,23,3,4,1,121,1,1,96,1,1,7,3,0,2613,22310,1,1,0,25,4,3,80,3,10,2,2,10,7,0,9
1,56,1,441,0,14,4,4,1,123,2,0,72,3,1,7,2,2,4963,4510,9,1,1,18,3,1,80,3,7,2,3,5,4,4,3
0,51,1,684,0,6,3,4,1,124,1,1,51,3,5,8,3,1,19537,6462,7,1,0,13,3,3,80,0,23,5,3,20,18,15,15
1,31,1,249,2,6,4,4,1,125,2,1,76,1,2,2,3,2,6172,20739,4,1,1,18,3,2,80,0,12,3,2,7,7,7,7
0,26,1,841,0,6,3,5,1,126,3,0,46,2,1,7,2,2,2368,23300,1,1,0,19,3,3,80,0,5,3,2,5,4,4,3
1,19,1,528,2,22,1,2,1,128,4,1,50,3,1,1,3,1,1675,26820,1,1,1,19,3,4,80,0,0,2,2,0,0,0,0
0,22,1,594,0,2,1,0,1,129,3,1,100,3,1,6,4,2,2523,19299,0,1,0,14,3,3,80,1,3,2,3,2,1,2,1
0,43,2,957,0,28,3,3,1,131,2,0,72,4,1,7,3,1,4739,16090,4,1,0,12,3,4,80,0,18,2,3,3,2,1,2
0,50,2,809,2,12,3,2,1,132,3,0,77,3,3,2,4,1,9208,6645,4,1,0,11,3,4,80,0,16,3,3,2,2,2,1
0,41,1,802,2,9,1,4,1,134,3,1,96,3,3,2,3,0,8189,21196,3,1,1,13,3,3,80,1,12,2,3,9,7,0,7
0,26,1,1355,1,25,1,4,1,135,3,0,61,3,1,0,3,2,2942,8916,1,1,0,23,4,4,80,1,8,3,3,8,7,5,7
1,51,2,1150,0,8,4,4,1,137,1,1,53,1,3,5,4,1,10650,25150,2,1,0,15,3,4,80,0,18,2,3,4,2,0,3
0,39,1,1329,2,4,4,4,1,138,4,0,47,2,2,2,3,2,5902,14590,4,1,0,14,3,3,80,1,17,1,4,15,11,5,9
0,30,1,1240,1,9,3,1,1,140,3,1,48,3,2,0,4,2,6347,13982,0,1,1,19,3,4,80,0,12,2,1,11,9,4,7
1,32,1,1033,0,9,3,3,1,141,1,0,41,3,1,6,1,1,4200,10224,7,1,0,22,4,1,80,0,10,2,4,5,4,0,4
0,38,1,364,0,3,5,0,1,143,4,0,32,3,2,7,3,1,4317,2302,3,1,1,20,4,2,80,0,19,2,3,3,2,2,2
0,30,1,438,0,18,3,4,1,144,1,0,75,3,1,7,3,1,2632,23910,1,1,0,14,3,3,80,0,5,4,2,5,4,0,4
0,32,2,689,2,9,2,3,1,145,4,1,35,1,2,2,4,0,4668,22812,0,1,0,17,3,4,80,3,9,2,4,8,7,0,7
0,19,1,1181,0,3,1,3,1,150,2,0,79,3,1,6,2,1,1483,16102,1,1,0,14,3,4,80,0,1,3,3,1,0,0,0
0,40,2,1395,0,26,3,3,1,151,2,0,54,3,2,7,2,0,5605,8504,1,1,0,11,3,1,80,1,20,2,3,20,7,2,13
0,35,1,662,2,1,5,2,1,152,3,1,94,3,3,2,2,2,7295,11439,1,1,0,13,3,1,80,2,10,3,3,10,8,0,6
0,53,1,1436,2,6,2,2,1,153,2,1,34,3,2,1,3,2,2306,16047,2,1,1,20,4,4,80,1,13,3,1,7,7,4,5
0,45,1,194,0,9,3,4,1,154,2,1,60,3,2,6,2,0,2348,10901,8,1,0,18,3,3,80,1,20,2,1,17,9,0,15
0,32,2,967,2,8,3,2,1,155,2,0,43,3,3,2,4,1,8998,15589,1,1,0,14,3,4,80,0,9,2,3,9,8,3,7
0,29,0,1496,0,1,1,0,1,156,4,1,41,3,2,5,3,2,4319,26283,1,1,0,13,3,1,80,1,10,1,3,10,7,0,9
0,51,1,1169,0,7,4,3,1,157,2,1,34,2,2,5,3,2,6132,13983,2,1,0,17,3,3,80,0,10,2,3,1,0,0,0
0,40,1,630,2,4,4,2,1,159,3,1,67,2,3,2,4,2,10855,8552,7,1,0,11,3,1,80,1,15,2,2,12,11,2,11
0,34,2,303,2,2,4,2,1,160,3,0,75,3,1,1,3,2,2231,11314,6,1,0,18,3,4,80,1,6,3,3,4,3,1,2
0,22,1,1256,0,19,1,3,1,161,3,1,80,3,1,7,4,2,2323,11992,1,1,0,24,4,1,80,2,2,6,3,2,2,2,2
0,27,0,691,0,9,3,3,1,162,4,1,57,3,1,7,2,0,2024,5970,6,1,0,18,3,4,80,1,6,1,1,2,2,2,2
0,57,1,334,0,24,2,4,1,164,3,1,83,4,3,4,4,0,9439,23402,3,1,1,16,3,2,80,1,12,2,1,5,3,1,4
0,27,0,1450,0,3,3,3,1,165,3,1,79,2,1,7,3,0,2566,25326,1,1,1,15,3,4,80,1,1,2,2,1,1,0,1
0,41,1,465,0,14,3,4,1,167,1,1,56,3,1,7,3,0,2451,4609,4,1,0,12,3,1,80,1,13,2,3,9,8,1,8
0,30,1,1339,2,5,3,4,1,168,2,0,41,3,3,2,4,2,9419,8053,2,1,0,12,3,3,80,1,12,2,3,10,9,7,4
0,38,1,702,2,1,4,4,1,169,1,0,59,2,2,2,4,1,8686,12930,4,1,0,22,4,3,80,0,12,2,4,8,3,0,7
0,32,1,120,0,6,5,4,1,170,3,1,43,3,1,7,3,1,3038,12430,3,1,0,20,4,1,80,0,8,2,3,5,4,1,4
0,27,1,1157,0,17,3,0,1,171,3,1,51,3,1,7,2,2,3058,13364,0,1,1,16,3,4,80,1,6,3,2,5,2,1,1
0,36,2,1480,0,3,2,3,1,173,4,1,30,3,1,6,2,1,2088,15062,4,1,0,12,3,3,80,0,13,3,2,8,7,7,2
0,56,1,713,0,8,3,4,1,176,3,0,67,3,1,7,1,0,4257,13939,4,1,1,18,3,3,80,1,19,3,3,2,2,2,2
0,33,1,134,0,2,3,4,1,177,3,1,90,3,1,7,4,1,2500,10515,0,1,0,14,3,1,80,0,4,2,4,3,1,0,2
0,46,1,526,2,1,2,2,1,179,2,0,92,3,3,2,1,0,10453,2137,1,1,0,25,4,3,80,3,24,2,3,24,13,15,7
0,31,1,140,0,12,1,3,1,181,3,0,95,3,1,7,4,2,3929,6984,8,1,1,23,4,3,80,1,7,0,3,4,2,0,2
1,41,1,1356,2,20,2,2,1,183,2,0,70,3,1,1,2,1,3140,21728,1,1,1,22,4,4,80,0,4,5,2,4,3,0,2
0,50,1,328,0,1,3,3,1,184,3,1,86,2,1,6,3,2,3690,3425,2,1,0,15,3,4,80,1,5,2,2,3,2,0,2
0,53,1,1084,0,13,2,3,1,185,4,0,57,4,2,5,1,0,4450,26250,1,1,0,11,3,3,80,2,5,3,3,4,2,1,3
0,33,1,931,0,14,3,3,1,186,4,0,72,3,1,7,2,2,2756,4673,1,1,0,13,3,4,80,1,8,5,3,8,7,1,6
0,40,1,989,0,4,1,3,1,187,4,0,46,3,5,3,3,2,19033,6499,1,1,0,14,3,2,80,1,21,2,3,20,8,9,9
0,55,1,692,0,14,4,3,1,188,3,1,61,4,5,8,2,1,18722,13339,8,1,0,11,3,4,80,0,36,3,3,24,15,2,15
0,34,2,1069,0,2,1,4,1,189,4,1,45,2,2,5,3,2,9547,14074,1,1,0,17,3,3,80,0,10,2,2,10,9,1,9
0,51,1,313,0,3,3,3,1,190,4,0,98,3,4,4,2,1,13734,7192,3,1,0,18,3,3,80,0,21,6,3,7,7,1,0
0,52,1,699,0,1,4,4,1,191,3,1,65,2,5,3,3,2,19999,5678,0,1,0,14,3,1,80,1,34,5,3,33,18,11,9
0,27,1,894,0,9,3,3,1,192,4,0,99,3,1,7,2,1,2279,11781,1,1,0,16,3,4,80,0,7,2,2,7,7,0,3
1,35,1,556,0,23,2,4,1,193,2,1,50,2,2,5,3,2,5916,15497,3,1,1,13,3,1,80,0,8,1,3,1,0,0,1
0,37,1,290,0,21,3,4,1,196,2,1,65,4,1,7,1,2,3564,22977,1,1,1,12,3,1,80,1,8,3,2,8,7,1,7
0,35,2,138,0,2,3,3,1,197,2,0,37,3,2,6,2,1,4425,15986,5,1,0,11,3,4,80,0,10,5,3,6,2,1,2
0,38,1,1084,0,29,3,0,1,200,4,1,54,3,2,5,4,2,6261,4185,3,1,0,18,3,1,80,1,9,3,1,7,7,1,7
0,27,2,472,0,1,1,0,1,201,3,1,60,2,2,5,1,2,4298,9679,5,1,0,19,3,3,80,1,6,1,3,2,2,2,0
0,49,0,1002,0,18,4,4,1,202,4,1,92,3,2,5,4,0,6804,23793,1,1,1,15,3,1,80,2,7,0,3,7,7,1,7
0,34,2,878,0,10,4,3,1,203,4,1,43,3,1,7,3,0,3815,5972,1,1,1,17,3,4,80,1,5,4,4,5,3,2,0
1,38,1,1180,0,29,1,3,1,205,2,1,70,3,2,4,1,2,6673,11354,7,1,1,19,3,2,80,0,17,2,3,1,0,0,0
0,22,1,1136,0,5,3,4,1,207,4,1,60,4,1,7,2,0,2328,12392,1,1,1,16,3,1,80,1,4,2,2,4,2,2,2
0,36,2,635,0,18,1,3,1,208,2,0,73,3,1,6,4,1,2153,7703,1,1,0,13,3,1,80,0,8,2,3,8,1,1,7
0,46,1,644,0,1,4,3,1,210,4,1,97,3,3,4,1,0,9396,12368,7,1,0,16,3,3,80,1,17,3,3,4,2,0,3
1,32,1,1045,2,4,4,3,1,211,4,1,32,1,3,2,4,2,10400,25812,1,1,0,11,3,3,80,0,14,2,2,14,8,9,8
0,30,0,829,0,1,1,4,1,212,3,1,88,2,3,5,3,1,8474,20925,1,1,0,22,4,3,80,0,12,2,3,11,8,5,8
0,41,1,896,2,6,3,4,1,216,4,0,75,3,3,3,4,1,13591,14674,3,1,1,18,3,3,80,0,16,3,3,1,0,0,0
1,30,2,334,2,26,4,2,1,217,3,0,52,2,2,2,1,1,6696,22967,5,1,0,15,3,3,80,0,9,5,2,6,3,0,1
0,36,1,1396,0,5,2,4,1,221,4,1,62,3,2,6,2,1,5914,9945,8,1,0,16,3,4,80,0,16,3,4,13,11,3,7
0,33,1,147,0,4,4,3,1,222,3,0,47,2,1,7,2,2,2622,13248,6,1,0,21,4,4,80,0,7,3,3,3,2,1,1
0,37,2,663,0,11,3,5,1,223,2,1,47,3,3,8,4,0,12185,10056,1,1,1,14,3,3,80,3,10,1,3,10,8,0,7
0,38,1,119,2,3,3,4,1,224,1,1,76,3,3,2,3,0,10609,9647,0,1,0,12,3,3,80,2,17,6,2,16,10,5,13
0,37,2,319,2,4,4,2,1,227,1,1,41,3,1,1,4,0,2793,2539,4,1,0,17,3,3,80,1,13,2,3,9,8,5,8
0,29,2,1413,2,1,1,3,1,228,2,0,42,3,3,2,4,2,7918,6599,1,1,0,14,3,4,80,1,11,5,3,11,10,4,1
0,35,2,944,2,1,3,2,1,229,3,0,92,3,3,2,3,1,8789,9096,1,1,0,14,3,1,80,0,10,3,4,10,7,0,8
1,29,1,896,0,18,1,3,1,230,3,1,86,2,1,7,4,1,2389,14961,1,1,1,13,3,3,80,0,4,3,2,4,3,0,1
0,52,1,1323,0,2,3,4,1,231,3,0,89,2,1,6,4,1,3212,3300,7,1,0,15,3,2,80,0,6,3,2,2,2,2,2
0,42,1,532,0,4,2,0,1,232,3,1,58,3,5,3,4,2,19232,4933,1,1,0,11,3,4,80,0,22,3,3,22,17,11,15
0,50,1,854,2,1,4,3,1,234,4,0,68,3,5,3,4,0,19517,24118,3,1,0,11,3,3,80,1,32,3,2,7,0,0,6
1,33,1,813,0,14,3,3,1,235,3,1,58,3,1,6,4,2,2436,22149,5,1,1,13,3,3,80,1,8,2,1,5,4,0,4
0,43,1,1034,2,16,3,2,1,236,4,0,80,3,4,3,4,2,16064,7744,5,1,1,22,4,3,80,1,22,3,3,17,13,1,9
0,52,0,771,2,2,4,4,1,238,1,1,79,2,5,3,3,1,19068,21030,1,1,1,18,3,4,80,0,33,2,4,33,7,15,12
0,32,1,1401,2,4,2,4,1,239,3,0,56,3,1,1,2,2,3931,20990,2,1,0,11,3,1,80,1,6,5,3,4,3,1,2
1,32,1,515,0,1,3,4,1,240,4,1,62,2,1,6,3,1,3730,9571,0,1,1,14,3,4,80,0,4,2,1,3,2,1,2
0,39,1,1431,0,1,4,3,1,241,3,0,96,3,1,6,3,0,2232,15417,7,1,0,14,3,3,80,3,7,1,3,3,2,1,2
0,32,0,976,2,26,4,2,1,242,3,1,100,3,2,2,4,2,4465,12069,0,1,0,18,3,1,80,0,4,2,3,3,2,2,2
0,41,1,1411,0,19,2,4,1,243,3,1,36,3,2,7,1,0,3072,19877,2,1,0,16,3,1,80,2,17,2,2,1,0,0,0
0,40,1,1300,0,24,2,0,1,244,1,1,62,3,2,7,4,0,3319,24447,1,1,0,17,3,1,80,2,9,3,3,9,8,4,7
0,45,1,252,0,1,3,5,1,245,3,1,70,4,5,3,4,2,19202,15970,0,1,0,11,3,3,80,1,25,2,3,24,0,1,7
0,31,2,1327,0,3,4,3,1,246,2,1,73,3,3,8,3,0,13675,13523,9,1,0,12,3,1,80,1,9,3,3,2,2,2,2
0,34,1,470,0,2,4,4,1,248,4,1,84,2,2,5,1,2,5957,23687,6,1,0,13,3,2,80,1,13,3,3,11,9,5,9
0,37,1,1017,0,1,2,3,1,249,3,0,83,2,1,7,1,2,3920,18697,2,1,0,14,3,1,80,1,17,2,2,3,1,0,2
1,37,2,504,0,10,3,3,1,251,1,1,61,3,3,5,3,0,10048,22573,6,1,0,11,3,2,80,2,17,5,3,1,0,0,0
0,39,2,505,0,2,4,0,1,252,3,0,64,3,3,4,3,1,10938,6420,0,1,0,25,4,4,80,0,20,1,3,19,6,11,8
0,25,1,685,0,1,3,4,1,256,1,0,62,3,2,5,3,2,4898,7505,0,1,0,12,3,4,80,2,5,3,3,4,2,1,2
0,42,1,269,0,2,3,3,1,257,4,0,56,2,1,6,1,0,2593,8007,0,1,1,11,3,3,80,1,10,4,3,9,6,7,8
0,32,2,1311,0,7,3,4,1,261,2,1,100,4,1,6,2,2,2794,26062,1,1,0,20,4,3,80,0,5,3,1,5,1,0,3
0,38,0,1327,2,2,2,4,1,262,4,1,39,2,2,2,4,2,5249,19682,3,1,0,18,3,4,80,1,13,0,3,8,7,7,5
0,32,1,128,0,2,1,0,1,263,4,1,84,2,2,6,1,1,2176,19737,4,1,0,13,3,4,80,0,9,5,3,6,2,0,4
0,31,1,1463,0,23,3,3,1,267,2,1,64,2,2,4,4,2,5582,14408,0,1,0,21,4,2,80,1,10,2,3,9,0,7,8
0,25,0,675,0,5,2,4,1,268,2,1,85,4,2,4,1,0,4000,18384,1,1,0,12,3,4,80,2,6,2,3,6,3,1,5
0,36,1,1403,0,6,3,4,1,270,4,1,47,3,1,6,4,2,3210,20251,0,1,0,11,3,3,80,1,16,4,3,15,13,10,11
0,55,1,452,0,1,3,3,1,271,4,1,81,3,5,3,1,1,19045,18938,0,1,1,14,3,3,80,0,37,2,3,36,10,4,13
0,37,1,228,2,6,4,3,1,274,3,1,98,3,2,2,4,2,6502,22825,4,1,0,14,3,2,80,1,7,5,4,5,4,0,1
0,21,1,996,0,3,2,3,1,275,4,1,100,2,1,7,3,1,3230,10531,1,1,0,17,3,1,80,0,3,4,4,3,2,1,0
0,37,0,728,0,1,4,3,1,276,1,0,80,3,3,8,4,0,13603,11677,2,1,1,18,3,1,80,2,15,2,3,5,2,0,2
